ch_0,ch_1,ch_2
-0.02726727689150721,-0.002683043021534104,-0.015821275155758485
-0.027141262762597762,-0.0014684522966490476,-0.014007301615492906
-0.02781106195470784,-0.0003266138151047926,-0.014054479834157974
-0.02801353548420593,0.0002558320488788013,-0.014762875252927188
-0.027007839889847673,0.0005573204475695093,-0.01505101772636408
-0.025287377866334282,0.001960853978744126,-0.0173220360011328
-0.023811462597223,0.0035034745451412164,-0.020586147002177313
-0.024309487343998626,0.0033231308407266624,-0.022121999791124836
-0.024069391656666994,0.0008026537443583948,-0.022635769710177556
-0.022703985450789332,-0.0017495638076070463,-0.024738721549510956
-0.02436157410556916,-0.0021404418930615066,-0.02564352507761214
-0.02510121339582838,-0.0009664981917012483,-0.023953456548042595
-0.02581630542408675,-0.002198889660576242,-0.022620934032602236
-0.025162857127725147,-0.0025430397272430127,-0.024462438886985183
-0.023334396246355027,-0.0006785871846659575,-0.0265366725216154
-0.02265909279230982,0.0006792063800276082,-0.02656564538483508
-0.022660167815047316,0.001493304239374993,-0.026605190214468166
-0.02256629340990912,0.0012925535202157334,-0.027098234568256885
-0.02249217504868284,-0.00021706375719077187,-0.02626270907057915
-0.022844351406092755,-0.00036672889791589114,-0.0233083737839479
-0.022996489860815927,0.00035138378962074057,-0.020518033124972135
-0.0232790316658793,-0.0006333287387860764,-0.02038168349827174
-0.0236426385527011,-0.003167035856677103,-0.02405848317721393
-0.02466888508934062,-0.005867123491043458,-0.027172416594112292
-0.02498829780961387,-0.0071947793003346305,-0.028529399060062133
-0.024671529899933375,-0.0068314848249428906,-0.030458490073215216
-0.024453222067677416,-0.006659289738308871,-0.030811355827609077
-0.022923873984836973,-0.007244958396768197,-0.029513921617763117
-0.020657822460634634,-0.007784627086948603,-0.029154054573155008
-0.020026463971589692,-0.008332897778018378,-0.03082333569182083
-0.021005522285122424,-0.010024069524661172,-0.03225113687221892
-0.022244785213842988,-0.011473377526272088,-0.03207925328752026
-0.022216716388356872,-0.012308017176110297,-0.03202083462383598
-0.021241612557787448,-0.012836158020945732,-0.03253674367442727
-0.022072479623602703,-0.012925189366796985,-0.033839263778645545
-0.023068696464179084,-0.011734932741092052,-0.03465223926468752
-0.022198202714207582,-0.010612225196382497,-0.03379656482138671
-0.021829559045727365,-0.011267686204519123,-0.03045979974558577
-0.022343740056385286,-0.011954820365644991,-0.02845735252776649
-0.023734508431516588,-0.012127766240155324,-0.029143115170882083
-0.023426175175700337,-0.01119464559451444,-0.029466120395227335
-0.02388057328062132,-0.010126623237738386,-0.02796306216623634
-0.02420999589958228,-0.009829966984398197,-0.025788785933400504
-0.023914217308629304,-0.007784004083077889,-0.023369806513073854
